Métrica,Original (todas las variables),Top 10 variables,Diferencia (%)
Accuracy,0.9616957797988547,0.9538039555363073,-0.82
Precision,0.9644675794953038,0.9520170805708507,-1.29
Recall,0.9464741810105497,0.9408106607440311,-0.6
F1-score,0.9553861674700146,0.9463806970509383,-0.94
ROC-AUC,0.9940443526241461,0.9918866735795934,-0.22
